# Peltier - Southwest Ecological Memory Project Site A11 - PPTR - ITRDB UT558
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/35514
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-35514.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ut558-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ut558-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ut558.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ut558.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2022-01-31
#--------------------
# File_Last_Modified_Date
#   Date: 2022-01-31
#--------------------
# Title
#   Study_Name: Peltier - Southwest Ecological Memory Project Site A11 - PPTR - ITRDB UT558
#--------------------
# Investigators
#   Investigators: Peltier, D.M.P.(https://orcid.org/0000-0003-3271-9055); Yocom, L.L.; Nguyen, P.; Bangs, M.; Wilson, M.
#--------------------
# Description_Notes_and_Keywords
#   Description: These tree ring data were collected to assess the climate memory of tree growth around the southwestern US in "ecologically sampled" trees. Trees were from a range of size classes and vigors, but were all dominant or co-dominant. NOAA Template Raw Measurements file added 2022-04-04.
#--------------------
# Publication
#   Authors: Drew M.P. Peltier, Jessica Guo, Phiyen Nguyen, Michael Bangs, Michelle Wilson, Kimberly Samuels-Crow, Larissa L. Yocom, Yao Liu, Michael K. Fell, John D. Shaw, David Auty, Christopher Schwalm, William R.L. Anderegg, George W. Koch, Marcy E. Litvak, Kiona Ogle
#   Journal_Name: Tree Physiology
#   Published_Title: Temperature memory and non-structural carbohydrates mediate legacies of a hot drought in trees across the southwestern USA
#   Published_Date_or_Year: 2022
#   Volume: 42
#   Pages: 71-85
#   Issue: 1
#   Report_Number: 
#   DOI: 10.1093/treephys/tpab091
#   Full_Citation: None
#   Abstract: Trees are long-lived organisms that integrate climate conditions across years or decades to produce secondary growth. This integration process is sometimes referred to as 'climatic memory.' While widely perceived, the physiological processes underlying this temporal integration, such as the storage and remobilization of non-structural carbohydrates (NSC), are rarely explicitly studied. This is perhaps most apparent when considering drought legacies (perturbed post-drought growth responses to climate), and the physiological mechanisms underlying these lagged responses to climatic extremes. Yet, drought legacies are likely to become more common if warming climate brings more frequent drought. To quantify the linkages between drought legacies, climate memory and NSC, we measured tree growth (via tree ring widths) and NSC concentrations in three dominant species across the southwestern USA. We analyzed these data with a hierarchical mixed effects model to evaluate the time-scales of influence of past climate (memory) on tree growth. We then evaluated the role of climate memory and the degree to which variation in NSC concentrations were related to forward-predicted growth during the hot 2011-2012 drought and subsequent 4-year recovery period. Populus tremuloides exhibited longer climatic memory compared to either Pinus edulis or Juniperus osteosperma, but following the 2011-2012 drought, P. tremuloides trees with relatively longer memory of temperature conditions showed larger (more negative) drought legacies. Conversely, Pinus edulis trees with longer temperature memory had smaller (less negative) drought legacies. For both species, higher NSC concentrations followed more negative (larger) drought legacies, though the relevant NSC fraction differed between P. tremuloides and P. edulis. Our results suggest that differences in tree NSC are also imprinted upon tree growth responses to climate across long time scales, which also underlie tree resilience to increasingly frequent drought events under climate change.
#--------------------
# Funding_Agency
#   Funding_Agency_Name: US National Science Foundation
#   Grant: 1458867, 1643245
#--------------------
# Site_Information
#   Site_Name: Southwest Ecological Memory Project Site A11
#   Location: Utah
#   Northernmost_Latitude: 38.3
#   Southernmost_Latitude: 38.3
#   Easternmost_Longitude: -112.4
#   Westernmost_Longitude: -112.4
#   Elevation_m: 2941
#--------------------
# Data_Collection
#   Collection_Name: UT558
#   First_Year: 1911
#   Last_Year: 2017
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Populus tremuloides Michx.
#   Common_Name: quaking aspen
#   Tree_Species_Code: PPTR
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## UTA1101A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1101A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1101C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1101C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1102A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1102A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1102C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1102C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1103B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1103B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1103C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1103C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1104A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1104A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1104C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1104C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1105B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1105B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1105C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1105C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1106A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1106A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1106B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1106B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1107A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1107A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1107B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1107B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1108A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1108A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1108B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1108B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1109A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1109A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1109B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1109B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1110A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1110A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1110B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1110B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1111A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1111A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1111B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1111B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1112A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1112A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1112B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1112B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1113A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1113A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1113B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1113B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1114A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1114A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1114B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1114B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1115A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1115A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTA1115C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTA1115C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	UTA1101A_raw	UTA1101C_raw	UTA1102A_raw	UTA1102C_raw	UTA1103B_raw	UTA1103C_raw	UTA1104A_raw	UTA1104C_raw	UTA1105B_raw	UTA1105C_raw	UTA1106A_raw	UTA1106B_raw	UTA1107A_raw	UTA1107B_raw	UTA1108A_raw	UTA1108B_raw	UTA1109A_raw	UTA1109B_raw	UTA1110A_raw	UTA1110B_raw	UTA1111A_raw	UTA1111B_raw	UTA1112A_raw	UTA1112B_raw	UTA1113A_raw	UTA1113B_raw	UTA1114A_raw	UTA1114B_raw	UTA1115A_raw	UTA1115C_raw
1911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.318	NA	NA	NA	NA	NA	NA	NA
1912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.416	NA	NA	NA	NA	NA	NA	NA
1913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.471	NA	NA	NA	NA	NA	NA	NA
1914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.673	NA	NA	NA	NA	NA	NA	NA
1915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.353	NA	NA	NA	NA	NA	NA	NA
1916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.914	NA	NA	3.489	4.026	NA	NA	NA	NA	NA	NA
1917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.796	NA	NA	5.016	4.646	NA	2.465	NA	NA	NA	NA
1918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.051	NA	NA	5.213	4.831	NA	2.126	NA	NA	NA	NA
1919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.474	NA	NA	3.491	3.464	NA	2.025	NA	NA	NA	NA
1920	NA	NA	NA	NA	NA	NA	1.279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.628	2.589	2.463	NA	NA	3.453	3.132	NA	1.608	NA	NA	NA	NA
1921	NA	NA	NA	NA	NA	NA	1.058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.67	3.634	3.282	NA	NA	3.814	3.919	NA	2.101	NA	2.229	NA	4.293
1922	NA	NA	NA	2.693	NA	NA	2.295	NA	2.472	NA	NA	NA	NA	NA	NA	NA	NA	2.588	3.061	2.581	NA	NA	3.59	3.763	NA	3.151	NA	2.399	NA	5.555
1923	NA	NA	NA	2.334	NA	NA	1.743	NA	1.614	2.834	NA	NA	NA	NA	NA	NA	NA	1.882	2.562	2.109	NA	NA	2.838	3.077	NA	2.112	NA	1.731	NA	4.61
1924	NA	NA	NA	1.545	NA	NA	2.433	NA	0.736	1.327	NA	NA	NA	NA	NA	NA	NA	1.771	2.75	2.307	NA	NA	2.693	3.414	NA	2.356	NA	1.583	NA	5.597
1925	NA	NA	NA	0.515	NA	NA	1.001	NA	1.497	1.339	NA	NA	NA	NA	NA	NA	4.935	1.012	0.851	0.476	NA	NA	0.897	1.155	1.604	1.336	NA	1.513	NA	2.978
1926	NA	NA	NA	1.65	NA	NA	1.311	2.64	1.563	1.476	NA	5.134	NA	NA	NA	NA	2.908	2.028	3.222	2.774	NA	NA	3.168	3.518	3.576	3.758	NA	2.302	NA	5.999
1927	NA	NA	NA	1.797	NA	NA	1.113	3.025	1.552	1.449	NA	5.087	NA	NA	NA	NA	2.942	2.505	2.633	1.798	NA	3.108	2.897	3.219	2.983	3.275	NA	2.08	NA	4.591
1928	NA	NA	NA	0.461	NA	NA	0.297	1.105	0.269	0.157	1.096	1.349	NA	NA	NA	NA	1.509	1.4	1.119	0.637	NA	0.916	0.61	0.5	0.57	0.57	NA	0.737	NA	1.467
1929	NA	NA	NA	0.766	NA	NA	0.979	2.858	1.204	0.432	3.706	4.093	NA	NA	NA	NA	2.11	1.55	2.012	1.144	NA	3.047	2.848	2.84	2.52	2.548	NA	2.419	NA	3.89
1930	NA	NA	NA	0.766	NA	NA	1.547	3.36	1.64	0.67	1.954	3.31	NA	NA	NA	NA	2.709	2.104	2.065	1.774	3.627	2.89	2.237	2.945	2.048	2.229	NA	2.435	NA	3.67
1931	NA	NA	NA	0.574	NA	NA	2.442	3.341	2.328	0.929	1.952	3.308	NA	NA	NA	NA	1.981	1.378	2.101	1.702	4.079	2.859	2.509	2.893	2.142	2.333	NA	2.146	NA	2.782
1932	NA	NA	NA	0.945	NA	NA	3.207	2.793	2.167	1.254	3.076	3.684	NA	NA	NA	NA	1.506	1.115	2.661	1.74	4.489	3.057	1.676	2.037	0.757	1.137	NA	1.86	NA	3.179
1933	NA	NA	NA	0.587	NA	NA	1.586	2.871	1.483	0.823	1.241	1.505	NA	NA	NA	NA	0.618	0.456	1.964	0.981	2.809	1.652	0.9	1.152	0.859	0.685	NA	1.002	NA	2.521
1934	NA	NA	NA	0.608	NA	NA	1.411	2.143	1.818	0.736	0.977	1.716	NA	NA	NA	NA	0.605	0.549	1.996	1.766	3.642	2.153	0.762	0.475	0.416	0.409	NA	0.787	NA	2.418
1935	NA	NA	2.642	1.788	NA	NA	2.036	3.076	1.796	1.114	2.237	1.679	NA	NA	NA	NA	2.271	1.484	3.17	2.422	4.107	2.745	2.707	2.071	2.002	1.767	NA	2.855	NA	4.176
1936	NA	NA	1.269	0.475	NA	NA	0.58	0.632	0.967	1.02	1.671	1.139	NA	NA	NA	NA	0.671	0.256	1.555	0.883	1.677	0.737	1.04	0.846	0.834	0.183	NA	0.947	NA	2.527
1937	NA	NA	2.963	2.042	NA	NA	2.17	2.475	2.499	3.139	3.834	2.44	NA	NA	NA	NA	3.131	1.748	3.619	2.889	4.274	2.965	2.665	3.046	1.993	1.755	NA	3.996	NA	4.163
1938	NA	NA	2.043	1.587	NA	NA	1.984	2.533	1.839	1.987	2.775	2.972	NA	NA	NA	NA	2.75	1.863	3.305	2.692	3.858	2.555	2.592	2.728	2.251	2.274	NA	3.09	NA	4.069
1939	NA	NA	1.527	1.5	NA	NA	1.159	1.223	1.102	1.035	1.684	2.081	NA	NA	NA	NA	1.844	1.391	2.736	2.25	2.764	1.758	1.843	1.612	1.628	2.312	NA	2.244	NA	3.29
1940	NA	NA	2.597	2.031	NA	NA	1.576	1.808	1.411	1.271	1.593	1.633	NA	NA	NA	NA	1.825	1.883	2.792	2.675	3.091	2.692	1.511	1.663	1.954	1.621	2.045	2.452	4.708	4.982
1941	NA	NA	2.455	2.197	NA	NA	1.861	1.463	1.672	1.173	2.029	1.936	NA	NA	3.392	3.921	1.756	1.852	2.105	2.58	2.792	2.271	2.481	1.833	1.427	1.564	2.065	2.067	4.529	4.904
1942	4.251	NA	1.68	1.898	NA	NA	0.862	1.048	1.215	1.035	1.75	1.37	NA	NA	4.448	3.959	1.794	1.624	1.686	2.262	2.898	1.91	1.857	1.232	0.939	1.071	1.808	2.381	4.588	4.846
1943	3.879	NA	0.326	0.293	NA	NA	0.259	0.292	0.673	1.031	1.526	0.875	NA	NA	1.116	1.092	0.284	0.403	0.362	0.679	0.845	0.496	0.962	0.614	0.551	0.402	0.896	1.977	2.33	2.463
1944	2.973	NA	0.231	0.468	NA	NA	0.202	0.228	0.723	0.896	1.224	0.905	NA	NA	0.537	0.785	0.139	0.238	0.419	0.538	0.502	0.25	0.984	0.747	0.852	0.413	1.158	2.323	1.832	1.958
1945	2.893	NA	1.346	1.704	NA	NA	1.198	1.009	1.595	1.525	0.901	0.537	NA	NA	2.69	2.823	0.887	0.839	1.8	1.885	1.914	1.109	1.674	1.442	1.75	0.736	1.488	1.417	2.375	2.292
1946	3.525	NA	1.434	1.681	NA	NA	1.502	2.034	1.617	1.587	1.883	2.222	NA	NA	3.528	3.961	1.874	1.823	2.916	2.226	2.286	1.271	1.484	1.263	1.377	1.04	2.178	2.279	3.421	3.501
1947	2.966	NA	1.535	2.051	NA	NA	1.752	1.083	1.389	1.895	2.308	1.658	NA	NA	3.475	3.703	1.577	1.811	1.924	2.01	1.567	1.601	1.182	0.965	1.08	0.657	1.19	1.06	2.866	3.012
1948	2.816	NA	2.159	1.941	NA	NA	2.062	1.333	1.632	1.963	2.495	1.78	NA	NA	3.013	3.666	1.733	1.402	2.139	2.053	1.947	1.459	1.35	1.279	1.899	0.981	1.917	1.537	2.902	2.945
1949	2.465	NA	1.919	1.797	NA	NA	1.892	0.763	1.298	0.776	1.655	1.268	NA	NA	2.456	3.052	1.352	1.003	1.935	2.214	1.727	1.573	1.505	1.327	1.54	1.776	3.017	1.857	3.381	3.38
1950	1.806	NA	1.169	0.749	NA	NA	0.879	0.437	1.165	0.846	1.085	0.831	NA	NA	2.585	2.62	0.696	0.398	1.044	1.047	1.146	1.036	0.874	0.945	0.844	0.679	2.286	1.792	3.161	2.969
1951	2.36	NA	2.196	1.635	NA	NA	1.367	1.194	1.257	1.289	1.889	1.524	NA	NA	2.826	3.291	1.377	0.727	2.047	1.764	2.061	1.511	1.223	1.209	1.752	1.322	2.08	1.845	3.367	3.036
1952	2.055	3.152	2.055	1.73	NA	NA	1.471	1.813	1.075	1.058	1.279	1.035	NA	NA	3.461	3.648	1.632	1.144	2.266	2.153	2.327	1.833	1.475	1.442	1.12	1.25	1.649	1.87	3.184	2.906
1953	2.375	2.724	2.259	1.726	NA	NA	1.07	1.374	0.75	0.886	1.503	1.262	NA	NA	3.17	3.408	1.388	1.176	2.223	1.689	2.066	1.6	1.676	1.478	1.902	1.398	1.721	1.699	3.148	2.997
1954	2.643	2.879	2.359	2.039	NA	NA	1.997	1.201	1.134	1.185	2.094	1.268	NA	NA	3.106	4.125	1.442	1.461	2.915	2.031	1.822	2.35	1.685	1.145	1.925	1.003	2.292	2.368	3.084	2.773
1955	2.854	2.902	2.55	2.477	NA	NA	1.846	1.389	1.25	1.37	1.978	1.368	NA	NA	3.033	3.679	1.46	1.587	2.199	2.146	2.57	2.165	2.121	1.717	2.085	1.871	2.264	2.312	3.102	2.943
1956	2.992	2.619	2.239	1.868	NA	2.622	1.454	1.415	1.363	1.306	1.514	1.727	NA	NA	2.546	3.296	1.488	1.352	2.395	2.495	1.912	1.701	1.862	1.784	1.624	1.821	2.75	2.604	3.28	3.149
1957	3.074	2.632	2.143	2.113	2.993	2.739	1.691	1.405	1.388	1.317	1.778	2.014	NA	NA	2.327	3.161	1.588	1.389	2.346	2.15	1.679	1.711	1.944	2.091	1.754	1.758	2.781	2.253	3.282	3.303
1958	2.486	2.6	2.062	2.053	2.64	2.729	1.452	1.388	1.115	1.275	1.26	1.423	NA	NA	2.327	3.178	1.124	1.226	2.327	2.049	1.402	1.524	1.415	1.412	1.45	1.094	2.636	1.931	3.359	3.411
1959	2.316	2.784	2.207	1.83	2.757	2.542	0.785	0.803	0.875	1.219	1.012	1.247	NA	NA	2.09	3.023	1.011	1.064	1.43	1.554	1.359	1.418	1.387	1.417	1.333	0.994	1.822	1.439	2.977	3.09
1960	2.42	2.547	1.974	1.697	2.534	2.577	0.885	0.809	0.737	0.981	1.142	0.828	0.816	1.012	1.983	2.89	1.053	0.998	1.879	1.649	1.354	1.214	1.15	1.02	1.198	0.9	1.868	1.444	3.056	3.452
