# Peltier - Southwest Ecological Memory Project Site P11 - PIED - ITRDB UT562
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/35518
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-35518.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ut562-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ut562-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ut562.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ut562.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2022-01-31
#--------------------
# File_Last_Modified_Date
#   Date: 2022-01-31
#--------------------
# Title
#   Study_Name: Peltier - Southwest Ecological Memory Project Site P11 - PIED - ITRDB UT562
#--------------------
# Investigators
#   Investigators: Peltier, D.M.P.(https://orcid.org/0000-0003-3271-9055); Yocom, L.L.; Nguyen, P.; Bangs, M.; Wilson, M.
#--------------------
# Description_Notes_and_Keywords
#   Description: These tree ring data were collected to assess the climate memory of tree growth around the southwestern US in "ecologically sampled" trees. Trees were from a range of size classes and vigors, but were all dominant or co-dominant. NOAA Template Raw Measurements file added 2022-04-04.
#--------------------
# Publication
#   Authors: Drew M.P. Peltier, Jessica Guo, Phiyen Nguyen, Michael Bangs, Michelle Wilson, Kimberly Samuels-Crow, Larissa L. Yocom, Yao Liu, Michael K. Fell, John D. Shaw, David Auty, Christopher Schwalm, William R.L. Anderegg, George W. Koch, Marcy E. Litvak, Kiona Ogle
#   Journal_Name: Tree Physiology
#   Published_Title: Temperature memory and non-structural carbohydrates mediate legacies of a hot drought in trees across the southwestern USA
#   Published_Date_or_Year: 2022
#   Volume: 42
#   Pages: 71-85
#   Issue: 1
#   Report_Number: 
#   DOI: 10.1093/treephys/tpab091
#   Full_Citation: None
#   Abstract: Trees are long-lived organisms that integrate climate conditions across years or decades to produce secondary growth. This integration process is sometimes referred to as 'climatic memory.' While widely perceived, the physiological processes underlying this temporal integration, such as the storage and remobilization of non-structural carbohydrates (NSC), are rarely explicitly studied. This is perhaps most apparent when considering drought legacies (perturbed post-drought growth responses to climate), and the physiological mechanisms underlying these lagged responses to climatic extremes. Yet, drought legacies are likely to become more common if warming climate brings more frequent drought. To quantify the linkages between drought legacies, climate memory and NSC, we measured tree growth (via tree ring widths) and NSC concentrations in three dominant species across the southwestern USA. We analyzed these data with a hierarchical mixed effects model to evaluate the time-scales of influence of past climate (memory) on tree growth. We then evaluated the role of climate memory and the degree to which variation in NSC concentrations were related to forward-predicted growth during the hot 2011-2012 drought and subsequent 4-year recovery period. Populus tremuloides exhibited longer climatic memory compared to either Pinus edulis or Juniperus osteosperma, but following the 2011-2012 drought, P. tremuloides trees with relatively longer memory of temperature conditions showed larger (more negative) drought legacies. Conversely, Pinus edulis trees with longer temperature memory had smaller (less negative) drought legacies. For both species, higher NSC concentrations followed more negative (larger) drought legacies, though the relevant NSC fraction differed between P. tremuloides and P. edulis. Our results suggest that differences in tree NSC are also imprinted upon tree growth responses to climate across long time scales, which also underlie tree resilience to increasingly frequent drought events under climate change.
#--------------------
# Funding_Agency
#   Funding_Agency_Name: US National Science Foundation
#   Grant: 1458867, 1643245
#--------------------
# Site_Information
#   Site_Name: Southwest Ecological Memory Project Site P11
#   Location: Utah
#   Northernmost_Latitude: 38.3
#   Southernmost_Latitude: 38.3
#   Easternmost_Longitude: -110.1
#   Westernmost_Longitude: -110.1
#   Elevation_m: 1949
#--------------------
# Data_Collection
#   Collection_Name: UT562
#   First_Year: 1890
#   Last_Year: 2016
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus edulis Engelm.
#   Common_Name: pinyon
#   Tree_Species_Code: PIED
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## UTP1101B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1101B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1101C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1101C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1102A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1102A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1102B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1102B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1103B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1103B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1103C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1103C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1104B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1104B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1104C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1104C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1105A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1105A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1105B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1105B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1106A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1106A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1106B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1106B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1107A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1107A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1107B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1107B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1108A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1108A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1108B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1108B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1110A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1110A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1110B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1110B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1111A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1111A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1111B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1111B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1112A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1112A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1112B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1112B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1113A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1113A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1113B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1113B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1114A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1114A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1114B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1114B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1115A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1115A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## UTP1115B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: UTP1115B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	UTP1101B_raw	UTP1101C_raw	UTP1102A_raw	UTP1102B_raw	UTP1103B_raw	UTP1103C_raw	UTP1104B_raw	UTP1104C_raw	UTP1105A_raw	UTP1105B_raw	UTP1106A_raw	UTP1106B_raw	UTP1107A_raw	UTP1107B_raw	UTP1108A_raw	UTP1108B_raw	UTP1110A_raw	UTP1110B_raw	UTP1111A_raw	UTP1111B_raw	UTP1112A_raw	UTP1112B_raw	UTP1113A_raw	UTP1113B_raw	UTP1114A_raw	UTP1114B_raw	UTP1115A_raw	UTP1115B_raw
1890	0.855	0.734	NA	NA	NA	0.813	0.301	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.464	1.356	0.072	0.302	NA	NA	0.406	0.378	NA	NA	NA	NA
1891	0.914	0.709	NA	NA	NA	0.948	0.463	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.845	0.747	0.49	0.189	NA	NA	0.482	0.315	NA	NA	NA	NA
1892	0.702	0.489	NA	NA	NA	1.064	0.356	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.825	0.695	0.38	0.26	NA	NA	0.423	0.442	NA	NA	NA	NA
1893	0.183	0.166	NA	NA	NA	0.192	0.384	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.156	0.171	0	0.413	NA	NA	0.088	0	NA	NA	NA	NA
1894	0.667	0.563	NA	NA	NA	0.834	0.136	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.861	0.585	0.317	0.317	NA	NA	0.608	0.511	NA	NA	NA	NA
1895	0.571	0.522	NA	NA	NA	0.874	0.325	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.69	0.404	0.304	0.273	NA	NA	0.447	0.317	NA	NA	NA	NA
1896	0.273	0.157	NA	NA	NA	0.442	0.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.098	0.077	0	0.316	NA	NA	0.233	0.1	NA	NA	NA	NA
1897	0.677	0.679	NA	NA	NA	0.878	0.518	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.868	0.845	0.272	0.4	NA	NA	0.776	0.8	NA	NA	NA	NA
1898	1.246	0.882	NA	NA	1.358	1.09	0.356	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.804	0.699	0.327	0.323	NA	NA	0.73	0.536	NA	NA	NA	NA
1899	0.225	0.112	NA	NA	0.275	0.071	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0.179	0.186	NA	NA	0	0	NA	NA	NA	NA
1900	0.47	0.386	NA	NA	0.288	0.349	0.173	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.296	0.232	0.405	0.444	NA	NA	0.486	0.267	NA	0.36	NA	0.685
1901	0.588	0.425	NA	NA	0.31	0.521	0.181	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.268	0.19	0.472	0.405	NA	NA	0.56	0.589	NA	0.523	NA	0.464
1902	0.306	0.322	NA	NA	0.243	0.349	0.151	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.196	0.15	0.073	0.116	NA	NA	0.38	0.388	NA	0.325	NA	0.097
1903	0.608	0.574	NA	NA	0.973	0.859	0.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.538	0.576	0.177	0.225	NA	NA	0.868	0.781	NA	0.749	NA	0.289
1904	0.189	0.208	NA	NA	0.228	0.045	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0.229	0.183	NA	NA	0	0	NA	0.25	NA	0.194
1905	1.147	0.713	NA	NA	0.912	0.857	0.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.643	0.812	0.418	0.393	NA	NA	0.792	1.147	NA	0.68	NA	0.455
1906	0.773	0.686	NA	NA	1.148	1.081	0.224	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.936	1.096	0.312	0.366	NA	NA	0.583	0.976	NA	0.995	NA	0.368
1907	0.765	1.025	NA	NA	1.452	1.272	0.393	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.084	0.893	0.421	0.396	0.395	NA	0.703	0.983	NA	0.933	NA	0.487
1908	0.502	0.738	NA	NA	1.593	1.023	0.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.699	0.698	0.208	0.226	0.139	0.329	0.437	0.702	NA	0.645	NA	0.245
1909	0.799	0.817	NA	NA	1.894	1.3	0.504	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.217	0.919	0.374	0.428	0.195	0.318	0.6	0.936	NA	1.122	NA	0.457
1910	0.756	0.705	NA	0.283	2.016	1.268	0.416	0.4	0.39	0.454	NA	NA	NA	NA	0.289	0.488	0.768	0.59	0.284	0.299	0.26	0.258	0.563	0.865	NA	1.118	0.219	0.26
1911	0.919	1.044	NA	0.575	2.676	1.899	0.631	0.688	0.712	0.647	NA	1.148	NA	NA	0.503	0.626	1.119	1.219	0.527	0.377	0.578	0.657	0.651	0.901	NA	1.156	0.671	0.713
1912	1.033	1.04	NA	0.641	2.749	1.381	0.416	0.416	0.611	0.607	NA	1.396	NA	NA	0.518	0.682	1.177	1.138	0.663	0.416	0.517	0.814	0.657	1.183	NA	0.845	0.61	0.698
1913	1.001	0.946	NA	0.345	2.246	1.55	0.519	0.515	0.559	0.503	NA	1.117	NA	NA	0.443	0.572	0.826	0.838	0.529	0.399	0.76	0.904	0.621	0.988	NA	0.448	0.333	0.384
1914	1.418	0.928	NA	0.645	3.295	2.28	0.711	0.939	0.612	0.576	NA	1.402	NA	NA	0.56	0.71	0.874	1.085	0.826	0.718	1.145	1.225	1.094	1.395	NA	1.145	0.732	0.631
1915	0.885	0.614	NA	0.539	1.971	1.238	0.574	0.611	0.434	0.421	NA	0.966	NA	NA	0.303	0.557	0.729	0.841	0.502	0.475	0.873	0.856	0.652	0.837	1.131	0.92	0.406	0.458
1916	0.793	0.818	NA	0.483	2.336	1.722	0.976	0.823	0.502	0.563	NA	1.234	NA	NA	0.446	0.659	1.048	0.91	0.614	0.687	0.884	0.931	1.008	1.106	1.408	0.853	0.399	0.403
1917	1.251	0.971	NA	0.646	2.506	1.655	0.88	0.798	0.728	0.67	NA	1.223	NA	NA	0.697	0.765	1.16	1.167	0.812	0.903	0.812	0.851	1.123	1.054	1.432	1.188	0.702	0.785
1918	0.652	0.791	NA	0.267	1.209	0.948	0.531	0.405	0.301	0.251	0.797	0.133	NA	NA	0.43	0.471	0.431	0.491	0.352	0.554	0.62	0.606	0.804	0.665	1.292	0.791	0.434	0.502
1919	0.703	0.554	NA	0.442	1.174	1.02	0.525	0.614	0.378	0.32	1.34	0.682	NA	NA	0.38	0.332	0.443	0.52	0.329	0.309	0.669	0.586	0.742	0.602	1.204	0.94	0.366	0.451
1920	0.831	0.793	NA	0.561	1.531	1.451	0.842	0.854	0.616	0.619	0.672	0.923	NA	NA	0.666	0.637	1	1.244	0.722	0.567	0.882	0.993	1.199	0.938	1.128	1.714	0.537	0.686
1921	0.813	0.971	NA	0.413	1.852	1.736	0.66	0.633	0.483	0.459	1.116	1.063	NA	NA	0.535	0.551	0.71	1.098	0.615	0.605	0.998	1.002	1.044	0.93	1.107	1.283	0.452	0.73
1922	1.015	0.851	NA	0.477	1.942	1.451	0.787	0.65	0.604	0.576	1.271	0.97	NA	NA	0.496	0.556	0.885	0.852	0.565	0.569	0.824	0.758	0.836	0.737	0.911	1.087	0.393	0.538
1923	0.597	0.559	NA	0.397	1.837	1.14	0.62	0.43	0.254	0.305	0.774	0.664	NA	NA	0.423	0.426	0.782	0.884	0.336	0.303	0.792	0.775	1.043	0.728	1.223	1.288	0.258	0.404
1924	0.753	0.735	NA	0.48	1.73	1.196	0.683	0.507	0.391	0.515	0.927	0.959	NA	NA	0.437	0.489	0.938	0.977	0.44	0.455	0.688	0.75	0.964	0.629	1.114	1.133	0.401	0.51
1925	0.768	0.484	NA	0.186	1.184	0.669	0.464	0.34	0.239	0.28	0.942	0.931	NA	NA	0.268	0.346	0.843	0.749	0.164	0.2	0.524	0.673	0.799	0.508	1.251	1.07	0.244	0.271
1926	0.657	0.691	NA	0.386	1.719	1.067	0.4	0.408	0.483	0.436	0.696	0.683	NA	NA	0.33	0.365	0.931	0.739	0.529	0.418	0.585	0.66	0.929	0.593	0.799	1.009	0.474	0.437
1927	0.381	0.277	NA	0.209	1.079	0.746	0.598	0.507	0.221	0.33	0.579	0.65	NA	NA	0.408	0.392	0.99	0.654	0.337	0.269	0.825	0.82	0.711	0.882	0.816	0.993	0.437	0.399
1928	0.528	0.39	NA	0.413	1.593	0.945	0.358	0.342	0.303	0.324	0.556	0.575	NA	NA	0.34	0.319	0.941	0.767	0.433	0.468	0.642	0.631	0.736	0.741	0.639	0.747	0.469	0.442
1929	0.8	0.549	NA	0.572	1.64	0.915	0.651	0.539	0.393	0.425	1.001	0.89	NA	NA	0.391	0.403	0.97	1.126	0.951	0.664	0.72	0.703	0.86	0.854	0.998	0.839	0.507	0.543
1930	0.727	0.498	NA	0.359	1.553	1.129	0.583	0.426	0.417	0.464	0.981	0.773	NA	NA	0.242	0.297	0.618	0.905	0.712	0.582	0.586	0.658	0.63	0.844	0.77	0.685	0.511	0.43
1931	0.429	0.321	NA	0.253	1.475	0.673	0.262	0.265	0.162	0.204	0.572	0.519	NA	NA	0.166	0.142	0.5	0.534	0.305	0.29	0.462	0.499	0.568	0.631	0.64	0.548	0.119	0.104
1932	0.813	0.536	NA	0.45	1.74	0.953	0.663	0.629	0.537	0.647	1.284	1.34	NA	NA	0.41	0.256	1.224	0.988	0.714	0.42	0.541	0.594	0.897	0.644	0.934	0.678	0.646	0.49
1933	0.567	0.437	NA	0.319	1.459	0.68	0.475	0.48	0.404	0.555	0.954	0.977	NA	NA	0.11	0.113	0.578	0.63	0.374	0.273	0.436	0.534	0.721	0.471	0.753	0.601	0.334	0.247
1934	0.414	0.376	NA	0.26	1.605	0.988	0.417	0.487	0.359	0.38	1.143	0.731	NA	NA	0.29	0.261	0.609	0.63	0.409	0.303	0.618	0.711	0.882	0.817	0.71	0.719	0.385	0.297
1935	0.335	0.261	NA	0.203	1.057	0.763	0.507	0.42	0.269	0.388	0.636	0.381	NA	NA	0.178	0.122	0.951	0.844	0.242	0.221	0.362	0.45	0.701	0.637	0.422	0.518	0.283	0.29
1936	0.176	0.097	NA	0.039	0.967	0.604	0.281	0.247	0.117	0.117	0.725	0.346	NA	NA	0	0	0.547	0.452	0.286	0.183	0.173	0.286	0.543	0.507	0.657	0.594	0.141	0.213
1937	0.539	0.501	NA	0.302	0.961	0.847	0.773	0.765	0.525	0.555	1.242	0.768	NA	NA	0.413	0.346	1.042	0.9	0.47	0.433	0.607	0.553	0.829	0.654	0.861	0.994	0.573	0.551
1938	0.368	0.484	NA	0.219	1.43	0.966	0.556	0.608	0.492	0.448	1.178	0.892	NA	NA	0.431	0.3	1.006	0.658	0.432	0.343	0.707	0.743	0.665	0.789	1.058	1.165	0.465	0.391
1939	0.229	0.354	NA	0.306	1.238	1.018	0.606	0.639	0.316	0.428	1.3	1.003	NA	NA	0.244	0.203	1.259	0.907	0.323	0.293	0.422	0.455	0.572	0.596	0.83	0.865	0.49	0.394
1940	0.058	0.197	NA	0.087	0.845	0.704	0.332	0.327	0.192	0.211	0.495	0.388	NA	NA	0.099	0.075	0.398	0.47	0.24	0.234	0.308	0.304	0.582	0.445	0.577	0.545	0.226	0.139
