# Cleaveland - Pueblita Canyon - PIED - ITRDB NM545
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2946
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2946.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm545x-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm545x-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm545x.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm545x.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Cleaveland - Pueblita Canyon - PIED - ITRDB NM545
#--------------------
# Investigators
#   Investigators: Cleaveland, M.K.; Harlan, T.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Pueblita Canyon
#   Location: New Mexico
#   Northernmost_Latitude: 36.68
#   Southernmost_Latitude: 36.68
#   Easternmost_Longitude: -107.32
#   Westernmost_Longitude: -107.32
#   Elevation_m: 2073
#--------------------
# Data_Collection
#   Collection_Name: NM545
#   First_Year: 1760
#   Last_Year: 1978
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  maximum density
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus edulis Engelm.
#   Common_Name: pinyon
#   Tree_Species_Code: PIED
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PN352X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN352X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PN363X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN363X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PN364X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN364X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PN373X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN373X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PN352X_raw	PN363X_raw	PN364X_raw	PN373X_raw
1760	0.64	NA	NA	NA
1761	0.64	NA	NA	NA
1762	0.64	NA	NA	NA
1763	0.66	NA	NA	NA
1764	0.63	NA	NA	NA
1765	0.66	NA	NA	NA
1766	0.73	NA	NA	NA
1767	0.7	NA	NA	NA
1768	0.69	NA	NA	NA
1769	0.66	NA	NA	NA
1770	0.67	NA	NA	NA
1771	0.71	NA	NA	NA
1772	0.7	NA	NA	NA
1773	0.69	NA	NA	NA
1774	0.73	NA	NA	NA
1775	0.67	NA	NA	NA
1776	0.7	NA	NA	NA
1777	0.71	NA	NA	NA
1778	0.7	NA	NA	NA
1779	0.66	NA	NA	NA
1780	0.64	NA	NA	NA
1781	0.73	NA	NA	NA
1782	0.67	NA	NA	NA
1783	0.72	NA	NA	NA
1784	0.68	NA	NA	NA
1785	0.7	NA	NA	NA
1786	0.69	NA	NA	NA
1787	0.72	NA	NA	NA
1788	0.76	NA	NA	NA
1789	0.64	NA	NA	NA
1790	0.7	NA	NA	NA
1791	0.7	NA	NA	NA
1792	0.71	NA	NA	NA
1793	0.7	NA	NA	NA
1794	0.68	NA	NA	NA
1795	0.64	NA	NA	NA
1796	0.64	NA	NA	NA
1797	0.67	NA	NA	NA
1798	0.6	NA	NA	NA
1799	0.69	NA	NA	NA
1800	0.68	NA	NA	NA
1801	0.69	NA	NA	NA
1802	0.67	NA	NA	NA
1803	0.63	NA	NA	NA
1804	0.61	NA	NA	NA
1805	0.66	NA	NA	NA
1806	0.68	NA	NA	NA
1807	0.66	NA	NA	NA
1808	0.71	NA	NA	NA
1809	0.68	NA	NA	NA
1810	0.67	NA	NA	NA
1811	0.67	NA	NA	NA
1812	0.62	NA	NA	NA
1813	0.62	NA	NA	NA
1814	0.69	NA	NA	NA
1815	0.7	NA	NA	NA
1816	0.7	NA	NA	NA
1817	0.65	NA	NA	NA
1818	0.62	NA	NA	NA
1819	0.67	NA	NA	NA
1820	0.67	NA	NA	NA
1821	0.69	NA	NA	NA
1822	0.65	NA	NA	NA
1823	0.63	NA	NA	NA
1824	0.64	NA	NA	NA
1825	0.63	NA	NA	NA
1826	0.61	NA	NA	NA
1827	0.62	NA	NA	NA
1828	0.64	NA	NA	NA
1829	0.62	NA	NA	NA
1830	0.68	NA	NA	NA
1831	0.72	NA	NA	NA
1832	0.69	NA	NA	NA
1833	0.7	NA	NA	NA
1834	0.66	NA	NA	NA
1835	0.75	NA	NA	NA
1836	0.7	NA	NA	NA
1837	0.65	NA	NA	0.73
1838	0.65	NA	NA	0.79
1839	0.64	NA	NA	0.73
1840	0.61	NA	NA	0.74
1841	0.64	NA	NA	0.77
1842	0.72	NA	NA	0.82
1843	0.76	NA	NA	0.77
1844	0.66	NA	NA	0.8
1845	0.67	0.78	NA	0.76
1846	0.7	0.8	NA	0.76
1847	0.64	0.74	NA	0.74
1848	0.64	0.76	NA	0.83
1849	0.76	0.77	NA	0.79
1850	0.69	0.71	NA	0.81
1851	0.69	0.74	NA	0.74
1852	0.66	0.74	NA	0.77
1853	0.69	0.71	NA	0.81
1854	0.66	0.75	NA	0.74
1855	0.66	0.75	NA	0.78
1856	0.68	0.75	NA	0.81
1857	0.71	0.81	NA	0.75
1858	0.67	0.8	NA	0.82
1859	0.66	0.73	NA	0.76
1860	0.68	0.85	NA	0.79
1861	0.62	0.79	NA	0.75
1862	0.6	0.78	NA	0.77
1863	0.6	0.79	NA	0.81
1864	0.59	0.8	NA	0.76
1865	0.63	0.73	NA	0.77
1866	0.66	0.73	NA	0.78
1867	0.61	0.76	NA	0.73
1868	0.67	0.82	NA	0.76
1869	0.66	0.75	NA	0.79
1870	0.6	0.69	NA	0.75
1871	0.59	0.73	NA	0.77
1872	0.64	0.73	NA	0.73
1873	0.6	0.7	NA	0.75
1874	0.61	0.72	NA	0.76
1875	0.62	0.83	NA	0.82
1876	0.61	0.72	NA	0.79
1877	0.6	0.78	NA	0.81
1878	0.7	0.74	NA	0.75
1879	0.63	0.74	NA	0.73
1880	0.7	0.79	0.79	0.8
1881	0.71	0.8	0.74	0.73
1882	0.66	0.71	0.66	0.73
1883	0.48	0.67	0.65	0.67
