# Schweingruber - Cortina d'Ampezzo South - PCAB - ITRDB ITAL007
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4391
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4391.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/ital007x-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ital007x-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/ital007x.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ital007x.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-07-31
#--------------------
# File_Last_Modified_Date
#   Date: 2002-07-31
#--------------------
# Title
#   Study_Name: Schweingruber - Cortina d'Ampezzo South - PCAB - ITRDB ITAL007
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2019-01-08. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Cortina d'Ampezzo South
#   Location: Italy
#   Northernmost_Latitude: 46.53
#   Southernmost_Latitude: 46.53
#   Easternmost_Longitude: 12.07
#   Westernmost_Longitude: 12.07
#   Elevation_m: 1900
#--------------------
# Data_Collection
#   Collection_Name: ITAL007
#   First_Year: 1660
#   Last_Year: 1975
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  maximum density
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 254160_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 254160; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 254170_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 254170; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 254180_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 254180; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 254190_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 254190; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 254200_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 254200; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 254210_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 254210; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 254260_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 254260; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 254280_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 254280; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 254290_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 254290; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 254300_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 254300; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	254160_raw	254170_raw	254180_raw	254190_raw	254200_raw	254210_raw	254260_raw	254280_raw	254290_raw	254300_raw
1660	NA	NA	NA	NA	NA	NA	0.73	NA	NA	NA
1661	NA	NA	NA	NA	NA	NA	0.73	NA	NA	NA
1662	NA	NA	NA	NA	NA	NA	0.71	NA	NA	NA
1663	NA	NA	NA	NA	NA	NA	0.69	NA	NA	NA
1664	NA	NA	NA	NA	NA	NA	0.7	NA	NA	NA
1665	NA	NA	NA	NA	NA	NA	0.75	NA	NA	NA
1666	NA	NA	NA	NA	NA	NA	0.79	NA	NA	NA
1667	NA	NA	NA	NA	NA	NA	0.67	NA	NA	NA
1668	NA	NA	NA	NA	NA	NA	0.75	NA	NA	NA
1669	NA	NA	NA	NA	NA	NA	0.72	NA	NA	NA
1670	NA	NA	NA	NA	NA	NA	0.8	NA	NA	NA
1671	NA	NA	NA	NA	NA	NA	0.73	NA	NA	NA
1672	NA	NA	NA	NA	NA	NA	0.72	NA	NA	NA
1673	NA	NA	NA	NA	NA	NA	0.74	NA	NA	NA
1674	NA	NA	NA	NA	NA	NA	0.51	NA	NA	NA
1675	NA	NA	NA	NA	NA	NA	0.63	NA	NA	NA
1676	NA	NA	NA	NA	NA	NA	0.69	NA	NA	NA
1677	NA	NA	NA	NA	NA	NA	0.69	NA	NA	NA
1678	NA	NA	NA	NA	NA	NA	0.7	NA	NA	NA
1679	NA	NA	NA	NA	NA	NA	0.71	NA	NA	NA
1680	NA	NA	NA	NA	NA	NA	0.81	NA	NA	NA
1681	NA	NA	NA	NA	NA	NA	0.73	NA	NA	NA
1682	NA	NA	NA	NA	NA	NA	0.71	NA	NA	NA
1683	NA	NA	NA	NA	NA	NA	0.68	NA	NA	NA
1684	NA	NA	NA	NA	NA	NA	0.76	NA	NA	NA
1685	NA	NA	NA	NA	NA	NA	0.81	NA	NA	NA
1686	NA	NA	NA	NA	NA	NA	0.83	NA	NA	NA
1687	NA	NA	NA	NA	NA	NA	0.71	0.77	NA	NA
1688	NA	NA	NA	NA	NA	NA	0.62	0.82	NA	NA
1689	NA	NA	NA	NA	NA	NA	0.54	0.77	NA	NA
1690	NA	NA	NA	NA	NA	NA	0.6	0.73	NA	NA
1691	NA	NA	NA	NA	NA	NA	0.71	0.79	NA	NA
1692	NA	NA	NA	NA	NA	NA	0.59	0.76	NA	NA
1693	NA	NA	NA	NA	NA	NA	0.69	0.83	NA	NA
1694	NA	NA	NA	NA	NA	NA	0.68	0.78	NA	NA
1695	NA	NA	NA	0.68	NA	NA	0.56	0.7	NA	NA
1696	NA	NA	NA	0.78	NA	NA	0.66	0.74	NA	NA
1697	NA	NA	NA	0.7	NA	NA	0.63	0.65	NA	NA
1698	NA	NA	NA	0.61	NA	NA	0.52	0.57	NA	NA
1699	NA	NA	NA	0.76	NA	NA	0.58	0.71	NA	NA
1700	NA	NA	NA	0.75	NA	NA	0.58	0.84	NA	NA
1701	NA	NA	NA	0.75	NA	NA	0.7	0.81	NA	NA
1702	NA	NA	NA	0.74	NA	NA	0.63	0.8	NA	NA
1703	NA	NA	NA	0.75	NA	NA	0.7	0.73	NA	NA
1704	NA	NA	NA	0.75	NA	NA	0.7	0.69	NA	NA
1705	NA	NA	NA	0.73	NA	NA	0.62	0.68	NA	NA
1706	NA	NA	NA	0.79	NA	NA	0.67	0.85	NA	NA
1707	NA	NA	NA	0.82	NA	NA	0.63	0.77	NA	NA
1708	NA	NA	NA	0.84	NA	NA	0.8	0.82	NA	NA
1709	NA	NA	NA	0.79	NA	NA	0.68	0.75	NA	NA
1710	NA	NA	NA	0.77	NA	NA	0.7	0.75	NA	NA
1711	NA	NA	NA	0.77	NA	NA	0.58	0.69	NA	NA
1712	NA	NA	NA	0.83	NA	NA	0.68	0.74	NA	NA
1713	NA	NA	NA	0.75	NA	NA	0.67	0.69	NA	NA
1714	NA	NA	NA	0.71	NA	NA	0.64	0.7	NA	NA
1715	NA	NA	NA	0.83	NA	NA	0.61	0.74	NA	NA
1716	NA	NA	NA	0.63	NA	NA	0.58	0.64	NA	NA
1717	NA	NA	NA	0.79	NA	NA	0.6	0.69	NA	NA
1718	NA	NA	NA	0.85	NA	NA	0.66	0.73	NA	NA
1719	NA	NA	NA	0.87	NA	NA	0.69	0.74	NA	NA
1720	NA	NA	NA	0.82	NA	NA	0.73	0.69	NA	NA
1721	NA	NA	NA	0.82	NA	NA	0.64	0.65	NA	NA
1722	NA	NA	NA	0.82	NA	NA	0.74	0.7	NA	NA
1723	NA	NA	NA	0.82	NA	NA	0.71	0.68	NA	NA
1724	NA	NA	NA	0.82	NA	NA	0.74	0.71	NA	NA
1725	NA	NA	0.76	0.66	NA	0.57	0.57	0.53	NA	NA
1726	NA	NA	0.99	0.89	NA	0.78	0.74	0.74	NA	NA
1727	NA	NA	0.93	0.86	NA	0.77	0.74	0.76	NA	NA
1728	NA	NA	0.86	0.87	NA	0.73	0.7	0.79	NA	NA
1729	NA	NA	0.96	0.87	NA	0.76	0.7	0.75	NA	NA
1730	NA	NA	0.94	0.82	NA	0.69	0.71	0.71	NA	NA
1731	NA	NA	0.81	0.76	NA	0.62	0.7	0.66	NA	NA
1732	NA	NA	0.95	0.87	NA	0.73	0.78	0.7	NA	NA
