# Schweingruber - Riederalp Vs Aletschwald - PICE - ITRDB SWIT109
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4610
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4610.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit109-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit109-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit109.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit109.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-07-31
#--------------------
# File_Last_Modified_Date
#   Date: 2002-07-31
#--------------------
# Title
#   Study_Name: Schweingruber - Riederalp Vs Aletschwald - PICE - ITRDB SWIT109
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2019-01-08. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Riederalp Vs Aletschwald
#   Location: Switzerland
#   Northernmost_Latitude: 46.4
#   Southernmost_Latitude: 46.4
#   Easternmost_Longitude: 8.02
#   Westernmost_Longitude: 8.02
#   Elevation_m: 2000
#--------------------
# Data_Collection
#   Collection_Name: SWIT109
#   First_Year: 1788
#   Last_Year: 1974
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus cembra L.
#   Common_Name: Swiss stone pine
#   Tree_Species_Code: PICE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 225007_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 225007; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 225008_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 225008; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 225009_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 225009; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 225010_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 225010; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 225011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 225011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 225013_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 225013; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 227030_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 227030; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 227031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 227031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 227032_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 227032; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	225007_raw	225008_raw	225009_raw	225010_raw	225011_raw	225013_raw	227030_raw	227031_raw	227032_raw
1788	NA	NA	NA	NA	NA	NA	2.18	NA	NA
1789	NA	NA	NA	NA	NA	NA	2.01	NA	NA
1790	NA	NA	NA	NA	NA	NA	2	NA	NA
1791	NA	NA	NA	NA	NA	NA	2.83	NA	NA
1792	NA	NA	NA	NA	NA	NA	2.58	NA	NA
1793	NA	NA	NA	NA	NA	NA	2.26	NA	NA
1794	NA	NA	NA	NA	NA	NA	2.3	NA	NA
1795	NA	NA	NA	NA	NA	NA	2.15	NA	NA
1796	NA	NA	NA	NA	NA	NA	2.43	NA	NA
1797	NA	NA	NA	NA	NA	NA	2.27	NA	NA
1798	NA	NA	NA	NA	NA	NA	2.08	NA	NA
1799	NA	NA	NA	NA	NA	NA	1.58	NA	NA
1800	NA	NA	NA	NA	NA	NA	1.78	NA	NA
1801	NA	NA	NA	NA	NA	NA	1.93	NA	NA
1802	NA	NA	NA	NA	NA	NA	2.17	NA	NA
1803	NA	NA	NA	NA	NA	NA	2.49	NA	NA
1804	NA	NA	NA	NA	NA	NA	2	NA	NA
1805	NA	NA	NA	NA	NA	NA	2.01	NA	NA
1806	NA	NA	NA	NA	NA	NA	2.09	NA	NA
1807	NA	NA	NA	NA	NA	NA	2.62	NA	NA
1808	NA	NA	NA	NA	NA	NA	1.66	NA	NA
1809	NA	NA	NA	NA	NA	NA	1.63	1.9	NA
1810	NA	NA	NA	NA	NA	NA	1.54	1.44	NA
1811	NA	NA	NA	NA	NA	NA	1.81	1.95	NA
1812	NA	NA	NA	NA	NA	NA	2.02	1.51	NA
1813	NA	NA	NA	NA	NA	NA	1.63	1.37	NA
1814	NA	NA	NA	NA	NA	NA	1.88	1.76	NA
1815	NA	NA	NA	NA	NA	NA	1.46	1.37	NA
1816	NA	NA	NA	NA	NA	NA	1.41	1.28	NA
1817	NA	NA	NA	NA	NA	NA	1.31	1.89	NA
1818	NA	NA	NA	NA	NA	NA	1.21	1.12	NA
1819	NA	NA	NA	NA	NA	NA	1.08	1.12	NA
1820	NA	NA	NA	NA	NA	NA	1.28	0.9	NA
1821	NA	NA	NA	NA	NA	NA	0.96	0.7	NA
1822	NA	NA	NA	NA	NA	NA	1.36	0.74	NA
1823	NA	NA	NA	NA	NA	NA	1.73	1.13	NA
1824	NA	NA	NA	NA	NA	NA	1.65	1.02	NA
1825	NA	NA	NA	NA	NA	NA	1.51	0.94	NA
1826	NA	NA	NA	NA	NA	NA	0.92	0.81	NA
1827	NA	NA	NA	NA	NA	NA	0.94	0.8	NA
1828	NA	NA	NA	NA	NA	NA	0.98	0.79	NA
1829	NA	NA	NA	NA	NA	NA	0.93	0.85	NA
1830	NA	NA	NA	NA	NA	NA	1.09	0.95	NA
1831	NA	NA	NA	NA	NA	NA	0.69	0.39	NA
1832	NA	NA	NA	NA	NA	NA	0.59	0.58	NA
1833	NA	NA	NA	NA	NA	NA	0.65	0.81	NA
1834	NA	NA	NA	NA	NA	NA	0.86	0.75	NA
1835	NA	NA	NA	NA	NA	NA	0.67	0.71	NA
1836	NA	NA	NA	NA	NA	NA	0.93	0.61	NA
1837	NA	NA	NA	NA	NA	NA	0.75	0.67	NA
1838	NA	NA	NA	NA	NA	NA	0.9	0.54	NA
1839	NA	NA	NA	NA	NA	NA	0.99	0.69	NA
1840	NA	NA	NA	NA	NA	NA	1.11	0.49	NA
1841	NA	NA	NA	NA	NA	NA	1.03	0.75	NA
1842	NA	NA	NA	NA	NA	NA	0.93	0.51	NA
1843	NA	NA	NA	NA	NA	NA	0.67	0.61	NA
1844	NA	NA	NA	NA	NA	NA	0.82	0.77	NA
1845	NA	NA	NA	NA	NA	NA	0.93	0.66	NA
1846	NA	NA	NA	NA	NA	NA	1.13	0.85	NA
1847	NA	NA	NA	NA	NA	NA	1.04	0.74	NA
1848	NA	NA	NA	NA	NA	NA	1.2	0.87	NA
1849	NA	2.32	NA	NA	NA	NA	0.82	0.73	NA
1850	NA	2.23	NA	NA	NA	NA	0.76	0.74	NA
1851	NA	2.04	NA	NA	NA	NA	0.57	0.54	NA
1852	NA	2.03	NA	NA	NA	NA	0.84	0.66	NA
1853	NA	1.9	NA	NA	NA	NA	0.8	0.69	NA
1854	NA	1.64	1.14	NA	NA	NA	0.66	0.73	NA
1855	NA	1.71	1.45	NA	NA	NA	0.68	0.82	NA
1856	NA	2.22	1.94	NA	NA	NA	0.5	0.73	NA
1857	NA	2.42	2.18	NA	NA	NA	0.57	0.75	NA
1858	NA	2.18	2.23	NA	NA	NA	0.54	0.95	NA
1859	NA	1.79	2.66	NA	NA	NA	0.45	0.64	NA
1860	NA	1.64	2.99	NA	NA	NA	0.6	0.94	NA
1861	NA	1.53	2.32	NA	NA	NA	0.78	0.88	NA
1862	NA	1.32	1.95	NA	NA	NA	0.59	0.9	NA
1863	NA	1.2	2.07	NA	NA	NA	0.86	1.08	NA
1864	NA	1.52	2.82	NA	NA	NA	0.78	1.12	NA
1865	NA	1.25	2.36	NA	NA	NA	0.68	0.91	NA
