# Schweingruber - Lötschental oWG-SCH, CH - PCAB - ITRDB SWIT176
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4514
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4514.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit176l-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit176l-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit176l.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit176l.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-28
#--------------------
# Title
#   Study_Name: Schweingruber - Lötschental oWG-SCH, CH - PCAB - ITRDB SWIT176
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2019-01-09. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Lötschental oWG-SCH, CH
#   Location: Switzerland
#   Northernmost_Latitude: 46.43
#   Southernmost_Latitude: 46.43
#   Easternmost_Longitude: 7.82
#   Westernmost_Longitude: 7.82
#   Elevation_m: 1900
#--------------------
# Data_Collection
#   Collection_Name: SWIT176
#   First_Year: 1768
#   Last_Year: 1998
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  latewood width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 126201_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 126201; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 126202_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 126202; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 126203_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 126203; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 126204_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 126204; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 126206_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 126206; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 126207_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 126207; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 126208_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 126208; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 126209_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 126209; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 126210_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 126210; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 126211_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 126211; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 126213_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 126213; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 126214_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 126214; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 126215_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 126215; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 126216_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 126216; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 126217_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 126217; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	126201_raw	126202_raw	126203_raw	126204_raw	126206_raw	126207_raw	126208_raw	126209_raw	126210_raw	126211_raw	126213_raw	126214_raw	126215_raw	126216_raw	126217_raw
1768	NA	NA	NA	NA	NA	NA	NA	NA	0.35	NA	NA	NA	NA	NA	NA
1769	NA	NA	NA	NA	NA	NA	NA	1.11	0.23	NA	NA	NA	NA	NA	NA
1770	NA	NA	NA	NA	NA	NA	NA	0.33	1.33	NA	NA	NA	NA	NA	NA
1771	NA	NA	NA	NA	NA	NA	NA	0.4	0.59	NA	NA	NA	NA	0.56	NA
1772	NA	NA	NA	NA	NA	NA	NA	0.33	0.61	NA	NA	NA	NA	0.47	NA
1773	NA	NA	NA	NA	NA	NA	NA	0.34	0.49	NA	NA	NA	NA	0.31	NA
1774	NA	NA	NA	NA	NA	NA	NA	0.33	0.36	NA	NA	NA	NA	0.25	NA
1775	NA	NA	NA	NA	NA	NA	NA	0.56	0.28	NA	NA	NA	NA	0.24	NA
1776	NA	NA	NA	NA	NA	NA	NA	0.69	0.38	NA	NA	NA	NA	0.28	NA
1777	NA	NA	NA	NA	NA	NA	NA	0.67	0.32	NA	NA	NA	NA	0.6	NA
1778	NA	NA	NA	NA	NA	NA	NA	0.38	0.24	NA	NA	NA	NA	0.41	NA
1779	NA	NA	NA	NA	NA	NA	NA	0.39	0.26	NA	NA	NA	NA	1.22	NA
1780	NA	NA	NA	NA	NA	NA	NA	0.34	0.24	NA	NA	NA	NA	0.93	NA
1781	NA	NA	NA	NA	NA	NA	NA	0.38	0.3	NA	NA	NA	NA	0.32	NA
1782	NA	NA	NA	NA	NA	NA	NA	0.42	0.25	NA	NA	NA	NA	0.24	NA
1783	NA	NA	NA	NA	NA	NA	NA	0.41	0.47	NA	NA	NA	NA	0.23	NA
1784	NA	NA	NA	NA	NA	NA	NA	0.35	0.36	NA	NA	NA	NA	0.25	NA
1785	NA	NA	NA	NA	NA	NA	NA	0.26	0.24	NA	NA	NA	NA	0.26	NA
1786	NA	NA	NA	NA	NA	NA	NA	0.22	0.42	NA	NA	NA	NA	0.29	NA
1787	NA	NA	NA	NA	NA	NA	NA	0.11	0.46	NA	NA	NA	NA	0.36	NA
1788	NA	NA	NA	NA	NA	NA	NA	0.2	0.32	NA	NA	NA	NA	0.28	NA
1789	NA	NA	NA	NA	NA	NA	NA	0.14	0.35	NA	NA	NA	NA	0.3	NA
1790	NA	NA	NA	NA	NA	NA	NA	0.22	0.26	NA	NA	NA	NA	0.37	NA
1791	NA	NA	NA	NA	NA	NA	NA	0.37	0.25	NA	NA	NA	NA	0.24	NA
1792	NA	NA	NA	NA	NA	NA	NA	0.32	0.2	NA	NA	NA	NA	0.24	NA
1793	NA	NA	NA	NA	NA	NA	NA	0.24	0.2	NA	NA	NA	NA	0.32	NA
1794	NA	NA	NA	NA	NA	NA	NA	0.26	0.15	NA	NA	NA	NA	0.31	NA
1795	NA	NA	NA	NA	NA	NA	NA	0.23	0.22	NA	NA	NA	NA	0.13	NA
1796	NA	NA	NA	NA	NA	NA	NA	0.25	0.18	NA	NA	NA	NA	0.31	NA
1797	NA	NA	NA	NA	0.44	NA	NA	0.29	0.23	NA	NA	NA	NA	0.27	NA
1798	NA	NA	NA	NA	0.55	NA	NA	0.2	0.17	NA	NA	NA	NA	0.21	NA
1799	NA	NA	NA	NA	0.79	NA	NA	0.25	0.26	NA	NA	NA	NA	0.3	0.75
1800	NA	NA	NA	NA	0.69	NA	NA	0.21	0.15	NA	NA	NA	NA	0.25	0.47
1801	NA	NA	NA	NA	0.44	NA	NA	0.16	0.2	NA	NA	NA	NA	0.24	0.3
1802	NA	0.33	NA	NA	2.13	NA	NA	0.15	0.16	NA	NA	NA	NA	0.28	1.57
1803	NA	0.31	NA	NA	0.97	0.6	NA	0.13	0.16	NA	NA	NA	NA	0.33	0.38
1804	NA	0.39	NA	NA	0.45	0.47	NA	0.16	0.14	NA	NA	NA	NA	0.14	0.26
1805	NA	0.22	NA	NA	0.55	0.16	NA	0.17	0.13	NA	NA	NA	NA	0.28	0.14
1806	NA	0.46	NA	NA	0.38	0.4	NA	0.14	0.12	NA	NA	NA	NA	0.15	0.09
1807	NA	0.31	NA	NA	0.45	0.29	NA	0.15	0.14	NA	NA	NA	NA	0.18	0.32
1808	NA	0.33	NA	NA	0.47	0.91	NA	0.2	0.16	NA	NA	NA	NA	0.25	0.21
1809	NA	0.25	NA	NA	0.56	0.65	NA	0.35	0.29	NA	NA	NA	NA	0.4	0.38
1810	NA	0.33	NA	NA	0.31	0.57	NA	0.19	0.12	NA	NA	NA	NA	0.14	0.21
1811	NA	0.21	NA	NA	0.7	0.2	NA	0.27	0.19	NA	NA	NA	NA	0.27	0.45
1812	NA	0.32	NA	NA	0.42	0.32	NA	0.23	0.14	NA	NA	NA	NA	0.19	0.29
1813	NA	0.26	NA	NA	0.22	0.15	0.41	0.15	0.2	NA	NA	NA	NA	0.12	0.25
1814	NA	0.25	NA	NA	0.32	0.15	0.4	0.29	0.3	NA	NA	NA	NA	0.25	0.4
1815	NA	0.29	NA	NA	0.31	0.29	0.24	0.19	0.16	NA	NA	NA	NA	0.22	0.42
1816	NA	0.19	NA	NA	0.11	0.37	0.13	0.1	0.28	NA	NA	NA	NA	0.16	0.36
1817	NA	0.2	NA	NA	0.24	0.43	0.23	0.23	0.19	NA	NA	NA	NA	0.31	0.23
1818	NA	0.18	NA	NA	0.14	0.31	0.3	0.2	0.15	NA	NA	NA	NA	0.22	0.21
1819	NA	0.19	NA	NA	0.14	0.25	0.21	0.15	0.18	NA	NA	NA	NA	0.2	0.2
1820	NA	0.19	NA	NA	0.16	0.38	0.25	0.15	0.24	NA	NA	NA	NA	0.33	0.2
1821	NA	0.19	NA	NA	0.1	0.27	0.33	0.21	0.18	NA	NA	NA	NA	0.28	0.17
1822	NA	0.18	NA	NA	0.17	0.28	0.33	0.15	0.18	NA	NA	NA	NA	0.21	0.19
1823	NA	0.22	NA	NA	0.18	0.29	0.52	0.17	0.19	NA	NA	NA	NA	0.23	0.19
1824	NA	0.21	NA	0.31	0.2	0.47	0.42	0.19	0.2	NA	NA	NA	NA	0.3	0.2
