# Schweingruber - Col D'Allos - PCAB - ITRDB FRAN016
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4388
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4388.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran016-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; fran016-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran016.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/fran016.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 1996-05-31
#--------------------
# File_Last_Modified_Date
#   Date: 1996-05-31
#--------------------
# Title
#   Study_Name: Schweingruber - Col D'Allos - PCAB - ITRDB FRAN016
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2019-01-08. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Col D'Allos
#   Location: France
#   Northernmost_Latitude: 44.27
#   Southernmost_Latitude: 44.27
#   Easternmost_Longitude: 6.57
#   Westernmost_Longitude: 6.57
#   Elevation_m: 1900
#--------------------
# Data_Collection
#   Collection_Name: FRAN016
#   First_Year: 1792
#   Last_Year: 1975
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 257030_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 257030; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 257070_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 257070; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 257090_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 257090; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 257120_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 257120; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 257150_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 257150; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 257160_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 257160; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 257220_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 257220; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 257230_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 257230; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 257260_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 257260; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	257030_raw	257070_raw	257090_raw	257120_raw	257150_raw	257160_raw	257220_raw	257230_raw	257260_raw
1792	NA	NA	NA	NA	1.2	NA	NA	NA	NA
1793	NA	NA	NA	NA	0.95	NA	NA	NA	NA
1794	NA	NA	NA	NA	0.9	NA	NA	NA	NA
1795	NA	NA	NA	NA	0.88	NA	NA	NA	NA
1796	NA	NA	NA	NA	0.61	NA	NA	NA	NA
1797	NA	NA	NA	NA	0.99	NA	NA	NA	NA
1798	NA	NA	NA	NA	1.07	NA	NA	NA	NA
1799	NA	NA	NA	NA	0.86	NA	NA	NA	NA
1800	NA	NA	NA	NA	1.08	NA	NA	NA	NA
1801	NA	NA	NA	NA	1.08	NA	NA	NA	NA
1802	NA	NA	NA	NA	0.97	NA	NA	NA	NA
1803	NA	NA	NA	NA	0.72	0.88	NA	NA	NA
1804	NA	NA	NA	NA	0.8	1.02	NA	NA	NA
1805	NA	NA	NA	NA	1.07	0.62	NA	NA	NA
1806	NA	NA	NA	NA	0.98	0.47	NA	NA	NA
1807	NA	NA	NA	NA	1	0.64	NA	NA	NA
1808	NA	NA	NA	NA	1.33	0.85	NA	NA	NA
1809	NA	NA	NA	NA	1.46	0.86	NA	NA	NA
1810	NA	NA	NA	NA	1.34	0.88	NA	NA	NA
1811	NA	NA	NA	NA	1.37	0.96	NA	NA	NA
1812	NA	NA	NA	NA	1.34	0.83	NA	NA	NA
1813	NA	NA	NA	NA	1.46	0.99	NA	NA	NA
1814	NA	NA	NA	NA	1.65	0.68	NA	NA	NA
1815	NA	NA	NA	NA	1.36	0.68	NA	NA	NA
1816	NA	NA	NA	NA	1.42	0.46	NA	NA	NA
1817	NA	NA	NA	NA	1.59	0.51	NA	NA	NA
1818	NA	NA	NA	NA	1.47	0.72	NA	NA	NA
1819	NA	NA	NA	NA	1.36	0.74	NA	NA	NA
1820	NA	NA	NA	NA	1.22	0.76	NA	NA	NA
1821	NA	NA	NA	NA	1.45	0.79	NA	NA	NA
1822	NA	NA	NA	NA	1.24	0.82	NA	NA	NA
1823	NA	0.38	NA	NA	1.53	0.77	NA	NA	NA
1824	NA	0.51	NA	NA	1.13	0.8	NA	NA	NA
1825	NA	0.68	NA	NA	1.26	0.96	NA	NA	NA
1826	NA	0.72	NA	NA	1.06	0.78	NA	0.99	NA
1827	NA	0.69	NA	NA	1.21	1.05	NA	1.08	NA
1828	NA	0.61	NA	NA	0.94	0.79	NA	0.93	NA
1829	NA	0.94	NA	NA	1.18	0.95	NA	0.93	NA
1830	NA	0.83	NA	NA	1.06	0.8	NA	0.86	NA
1831	NA	0.7	NA	NA	0.89	0.63	NA	0.57	NA
1832	NA	0.69	NA	NA	0.76	0.55	NA	0.55	NA
1833	NA	0.69	NA	NA	0.86	0.58	NA	0.65	NA
1834	NA	0.71	NA	NA	1.02	0.57	NA	0.8	NA
1835	NA	0.69	0.68	NA	0.66	0.53	NA	0.56	NA
1836	NA	0.7	0.95	NA	0.71	0.58	NA	0.72	NA
1837	NA	0.77	1.08	NA	0.79	0.52	NA	0.89	NA
1838	NA	0.82	1	NA	0.74	0.58	NA	0.73	NA
1839	NA	0.84	1.02	NA	0.75	0.66	NA	0.64	NA
1840	NA	0.64	0.93	NA	0.71	0.63	NA	0.58	NA
1841	NA	0.81	0.94	NA	0.98	0.71	NA	0.74	NA
1842	NA	1.07	1.36	NA	0.98	0.83	NA	0.87	NA
1843	NA	0.98	1.06	NA	0.87	0.78	NA	0.66	NA
1844	NA	1.04	1.06	NA	0.8	0.83	NA	0.88	NA
1845	NA	1	0.99	NA	0.73	0.79	NA	0.68	NA
1846	NA	1.01	1.25	NA	0.89	1.08	NA	1.1	NA
1847	2.33	0.65	1.04	NA	0.81	0.57	1.1	0.66	NA
1848	1.76	1	1.13	NA	0.91	0.89	1.4	0.86	NA
1849	2.09	0.68	0.92	NA	0.71	0.79	0.68	0.65	NA
1850	2.46	0.73	1.18	NA	0.77	0.74	0.97	0.67	0.89
1851	1.94	0.91	1.23	NA	0.99	0.86	1.26	0.7	1.14
1852	1.95	1.06	1.32	NA	0.91	0.75	1.15	0.78	1.08
1853	1.71	0.97	1.34	NA	0.83	0.74	1.05	0.74	1.06
1854	1.87	1.01	1.4	NA	0.77	0.68	1.31	0.79	1.02
1855	1.47	0.79	0.97	NA	0.63	0.58	1.11	0.68	0.9
1856	1.49	0.78	1.01	NA	0.77	0.73	1.05	0.95	0.97
1857	1.59	0.79	0.98	NA	0.85	0.66	1.33	0.94	1
1858	1.36	0.57	0.91	NA	0.77	0.6	1.24	0.81	1
1859	1.26	0.74	1.17	NA	0.99	0.72	1.43	1.03	1.39
1860	0.74	0.51	0.86	NA	0.6	0.57	1.08	0.84	0.79
1861	0.82	0.62	1	NA	0.63	0.64	1.01	0.77	0.92
1862	0.64	0.31	0.68	NA	0.52	0.46	0.87	0.48	0.63
1863	1.08	0.52	1.09	NA	0.67	0.77	0.97	0.7	0.91
1864	1.17	0.43	0.86	NA	0.64	0.61	0.73	0.55	0.66
